gene,log2FoldChange,pvalue,negLog10p,padj,significant
Gene_035,0.08614415333340952,0.3627882645227394,0.440346769945595,1.0,False
Gene_036,-0.09232930572832787,0.4043293888524956,0.39326469064109715,1.0,False
Gene_037,-0.08316755510146168,0.4458874122561127,0.3507747879439001,1.0,False
Gene_038,-0.10112298161884681,0.307287144655854,0.5124556080540882,1.0,False
Gene_039,0.021426213002377903,0.8446829755940661,0.0733062588421716,1.0,False
Gene_040,-0.10610986848880621,0.31006511778821716,0.5085470889842116,1.0,False
Gene_041,-0.2454888311171186,0.004459668674736166,2.350697405431093,0.44596686747361663,False
Gene_042,0.02402988951607954,0.8262972954161972,0.08286366874633157,1.0,False
Gene_043,-0.3080131316891257,0.0013121813405386053,2.8820061422826795,0.13121813405386054,False
Gene_044,-0.0008880497188918923,0.9931052943417484,0.003004702836635208,1.0,False
Gene_045,0.05063302626266886,0.6581262183089864,0.18169080751316521,1.0,False
Gene_046,-0.011624909784178517,0.901537362926947,0.04501626985477517,1.0,False
Gene_047,-0.04861833320537823,0.6441157414483408,0.19103608705645694,1.0,False
Gene_048,-0.12690319194267508,0.3648752719234133,0.4378555683457069,1.0,False
Gene_049,0.23585372193243526,0.034329406619938094,1.4643337032422872,1.0,False
Gene_050,-0.14585214613976616,0.280774107647274,0.551642944349876,1.0,False
Gene_051,0.128107552754829,0.11691045548480013,0.9321466474668625,1.0,False
Gene_052,0.0953680766600935,0.3333704786299122,0.47707286142398875,1.0,False
Gene_053,0.10536205176377056,0.32523042129939983,0.48780883827925564,1.0,False
Gene_054,0.07160564785102919,0.42347540613468093,0.37317180679761053,1.0,False
Gene_055,-0.044825612876858933,0.716353342764679,0.14487270819389741,1.0,False
Gene_056,-0.06502670506245956,0.5237628230945295,0.2808653312217865,1.0,False
Gene_057,0.05024829714664314,0.6739460173180691,0.17137488880562446,1.0,False
Gene_058,0.10210626608458861,0.2977306354989614,0.5261764755863475,1.0,False
Gene_059,-0.033741365757260944,0.7964232125741716,0.09885609050052943,1.0,False
Gene_060,-0.09348327798047595,0.33775047325875784,0.47140403376848383,1.0,False
Gene_061,0.08458411499317586,0.40619708481286076,0.39126319775600615,1.0,False
Gene_062,-0.02844650511605451,0.7859556207210149,0.10460197586913093,1.0,False
Gene_063,-0.11386846564177056,0.41585534968780546,0.3810577072503315,1.0,False
Gene_064,0.07515348110375353,0.4207747755208773,0.37595030302837723,1.0,False
Gene_065,-0.1349745835013998,0.21915981377782526,0.659239077261316,1.0,False
Gene_066,-0.02254439027995847,0.8056883670173884,0.09383290689911747,1.0,False
Gene_067,0.06727402190481335,0.44624326971734674,0.3504283209002765,1.0,False
Gene_068,-0.06915044558618533,0.5617045551920106,0.2504920541606521,1.0,False
Gene_069,0.17655804338967584,0.04806159809672627,1.3182017925614404,1.0,False
Gene_070,0.1732923018852297,0.18228889467759998,0.7392397884330479,1.0,False
Gene_071,-0.05555678951892862,0.6237106772958769,0.20501682120301362,1.0,False
Gene_072,0.03125045120263126,0.728578513401368,0.13752364073727852,1.0,False
Gene_073,0.12641641828204797,0.3074915217058704,0.5121668542856959,1.0,False
Gene_074,-0.08419015241772954,0.5023090644228181,0.299028984704691,1.0,False
Gene_075,0.13915033359485296,0.31042745320232623,0.5080398781127555,1.0,False
Gene_076,0.0823218013422875,0.43644693784896627,0.36006854920970155,1.0,False
Gene_077,-0.1943847496720279,0.10142997870961971,0.9938336656739459,1.0,False
Gene_078,-0.15491188789302068,0.19074449120273088,0.7195479958360073,1.0,False
Gene_079,0.109666269630452,0.42163408083138476,0.37506429220062554,1.0,False
Gene_080,-0.15586114687155517,0.18209229208540342,0.7397084373770993,1.0,False
Gene_081,0.017177959232190787,0.8561150039559503,0.0674678915977746,1.0,False
Gene_082,-0.03658309576893437,0.7771586255960655,0.10949032844490157,1.0,False
Gene_083,0.09584971910951978,0.03902864652483949,1.4086165093640437,1.0,False
Gene_084,0.06348112859597599,0.54883667253273,0.2605568773550756,1.0,False
Gene_085,0.10156183928903628,0.4191567114057727,0.37762357566258803,1.0,False
Gene_086,-0.06244040033865428,0.6474780470222543,0.18877495190882995,1.0,False
Gene_087,0.004150176389224658,0.9743862857766046,0.01126883724553756,1.0,False
Gene_088,0.06526389316107473,0.4393257108304991,0.3572133796050043,1.0,False
Gene_089,-0.032361221961711095,0.7885133291079887,0.10319096091577457,1.0,False
Gene_090,-0.1578753309126233,0.2223153513166287,0.6530305473688818,1.0,False
Gene_091,-0.18588814125142195,0.06536045274399212,1.1846849481595991,1.0,False
Gene_092,0.1834260204764071,0.09759243025015218,1.0105838670472669,1.0,False
Gene_093,-0.022972727375381474,0.8042559065207939,0.0946057409202809,1.0,False
Gene_094,-0.06710375468372076,0.302990365803569,0.5185711805566636,1.0,False
Gene_095,0.052424876027070244,0.7264576555646505,0.1387896951864229,1.0,False
Gene_096,-0.003169836715549934,0.96553902771028,0.015230167066713823,1.0,False
Gene_097,0.1288355996023185,0.12559188254475007,0.9010384297066908,1.0,False
Gene_098,0.053633050546015415,0.6471689316364095,0.18898233988579635,1.0,False
Gene_099,0.09219236538443232,0.4665650697920172,0.33108777853932714,1.0,False
